area,quad.num,status
Treatment,1,0
Treatment,2,0
Treatment,3,0
Treatment,4,0
Treatment,5,1
Treatment,6,1
Treatment,7,1
Treatment,8,1
Treatment,9,0
Treatment,10,0
Treatment,11,1
Treatment,12,1
Treatment,13,1
Treatment,14,1
Treatment,15,1
Treatment,16,0
Treatment,17,0
Treatment,18,0
Treatment,19,0
Treatment,20,0
Treatment,21,1
Treatment,22,1
Treatment,23,0
Treatment,24,0
Treatment,25,0
Treatment,26,1
Treatment,27,1
Treatment,28,1
Treatment,29,1
Treatment,30,1
Treatment,31,1
Treatment,32,1
Treatment,33,0
Treatment,34,0
Treatment,35,1
Treatment,36,1
Treatment,37,1
Treatment,38,1
Treatment,39,1
Treatment,40,1
Treatment,41,0
Treatment,42,1
Treatment,43,1
Treatment,44,0
Treatment,45,0
Treatment,46,0
Treatment,47,0
Treatment,48,0
Treatment,49,0
Treatment,50,0
Treatment,51,1
Treatment,52,1
Treatment,53,0
Treatment,54,0
Treatment,55,0
Treatment,56,1
Treatment,57,1
Treatment,58,1
Treatment,59,1
Treatment,60,0
Treatment,61,0
Treatment,62,1
Treatment,63,0
Treatment,64,1
Treatment,65,1
Treatment,66,0
Treatment,67,1
Treatment,68,1
Treatment,69,0
Treatment,70,0
Treatment,71,0
Treatment,72,0
Treatment,73,1
Treatment,74,1
Treatment,75,0
Treatment,76,0
Treatment,77,0
Treatment,78,0
Treatment,79,0
Treatment,80,0
Treatment,81,0
Treatment,82,0
Treatment,83,0
Treatment,84,0
Treatment,85,0
Treatment,86,1
Treatment,87,1
Treatment,88,0
Treatment,89,1
Treatment,90,1
Treatment,91,0
Treatment,92,0
Treatment,93,1
Treatment,94,0
Treatment,95,0
Treatment,96,0
Treatment,97,0
Treatment,98,0
Treatment,99,0
Treatment,100,1
Treatment,101,1
Treatment,102,0
Treatment,103,0
Treatment,104,1
Treatment,105,1
Treatment,106,1
Treatment,107,1
Treatment,108,0
Treatment,109,0
Treatment,110,1
Treatment,111,0
Treatment,112,0
Treatment,113,0
Treatment,114,0
Treatment,115,0
Treatment,116,1
Treatment,117,1
Treatment,118,0
Treatment,119,0
Treatment,120,1
Treatment,121,1
Treatment,122,0
Treatment,123,1
Treatment,124,1
Treatment,125,1
Treatment,126,1
Treatment,127,1
Treatment,128,0
Treatment,129,0
Treatment,130,0
Treatment,131,1
Treatment,132,1
Treatment,133,0
Treatment,134,1
Treatment,135,0
Treatment,136,0
Treatment,137,1
Treatment,138,1
Treatment,139,1
Treatment,140,0
Treatment,141,0
Treatment,142,0
Treatment,143,0
Treatment,144,0
Treatment,145,1
Treatment,146,0
