Quadrat,Area,Count
1,Reference,2
2,Reference,0
3,Reference,3
4,Reference,6
5,Reference,0
6,Reference,1
7,Reference,2
8,Reference,4
9,Reference,7
10,Reference,3
11,Reference,7
12,Reference,4
13,Reference,3
14,Reference,3
15,Reference,2
16,Reference,2
17,Reference,1
18,Reference,4
19,Reference,5
20,Reference,4
21,Reference,6
22,Reference,2
23,Reference,6
24,Reference,1
25,Reference,3
26,Reference,5
27,Reference,5
28,Reference,1
29,Reference,3
30,Reference,2
31,Reference,0
32,Reference,4
33,Reference,4
34,Reference,3
35,Reference,3
36,Reference,2
37,Reference,5
38,Reference,4
39,Reference,5
40,Reference,5
1,Treatment,2
2,Treatment,6
3,Treatment,0
4,Treatment,1
5,Treatment,2
6,Treatment,4
7,Treatment,0
8,Treatment,5
9,Treatment,2
10,Treatment,2
11,Treatment,4
12,Treatment,2
13,Treatment,1
14,Treatment,4
15,Treatment,4
16,Treatment,2
17,Treatment,8
18,Treatment,5
19,Treatment,0
20,Treatment,7
21,Treatment,1
22,Treatment,3
23,Treatment,2
24,Treatment,1
25,Treatment,4
26,Treatment,3
27,Treatment,2
28,Treatment,4
29,Treatment,3
30,Treatment,5
31,Treatment,5
32,Treatment,4
33,Treatment,3
34,Treatment,3
35,Treatment,8
36,Treatment,2
37,Treatment,2
38,Treatment,4
39,Treatment,2
40,Treatment,5
